typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","396375","false","15","g","52315648","false","396375","false",,"false",,"13088382.429","13088382.429","0","false","true",
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2","false","15","g","1246","false","2","false",,"false",,"44734.057","44734.057","0","false","true",
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1","false","15","g","3000","false","1","false",,"false",,"9060.156","9060.156","0","false","true",
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","710","ZAF","South Africa","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","281880","false","15","g","46435680","false","281880","false",,"false",,"8831633.031","8831633.031","0","false","true",
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","748","SWZ","Eswatini","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1","false","15","g","1000","false","1","false",,"false",,"8213.228","8213.228","0","false","true",
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","757","CHE","Switzerland","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","114464","false","15","g","5847722","false","114464","false",,"false",,"3667287.877","3667287.877","0","false","true",
"C","A","20170101","2017","52","2017","404","KEN","Kenya","X","Export","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","27","false","15","g","27000","false","27","false",,"false",,"527454.08","527454.08","0","false","true",
"C","A","20180101","2018","52","2018","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","14315.32","false","15","g","14310134","false",,"false","0","false",,"11640159.989","11640159.989","0","false","true",
"C","A","20180101","2018","52","2018","404","KEN","Kenya","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1","false","15","g","1000","false","1","false","0","false",,"37828.033","37828.033","0","false","true",
"C","A","20180101","2018","52","2018","404","KEN","Kenya","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","7","false","15","g","7000","false","7","false","0","false",,"281538.32","281538.32","0","false","true",
