HS2,HS2 ID,HS4,HS4 ID,Section,Section ID,Trade Value,Year
Live animals,101,Horses,10101,Animal Products,1,158040,2022
Live animals,101,Pigs,10103,Animal Products,1,3675802,2022
Live animals,101,Poultry,10105,Animal Products,1,14731932,2022
Live animals,101,Other Animals,10106,Animal Products,1,1586219,2022
Meat & edible offal,102,Bovine Meat,10201,Animal Products,1,260846563,2022
Meat & edible offal,102,Frozen Bovine Meat,10202,Animal Products,1,1695697004,2022
Meat & edible offal,102,Pig Meat,10203,Animal Products,1,525774256,2022
Meat & edible offal,102,Edible Offal,10206,Animal Products,1,752375160,2022
Meat & edible offal,102,Poultry Meat,10207,Animal Products,1,1106219525,2022
Meat & edible offal,102,Other Meat,10208,Animal Products,1,51720,2022
Meat & edible offal,102,Animal Fat,10209,Animal Products,1,41179,2022
Meat & edible offal,102,Preserved Meat,10210,Animal Products,1,9867406,2022
"Fish, crustaceans, & molluscs",103,Live Fish,10301,Animal Products,1,583551,2022
"Fish, crustaceans, & molluscs",103,Non-fillet Fresh Fish,10302,Animal Products,1,278036,2022
"Fish, crustaceans, & molluscs",103,Non-fillet Frozen Fish,10303,Animal Products,1,514630268,2022
"Fish, crustaceans, & molluscs",103,Fish Fillets,10304,Animal Products,1,31258067,2022
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,Animal Products,1,946711,2022
"Fish, crustaceans, & molluscs",103,Crustaceans,10306,Animal Products,1,209626401,2022
"Fish, crustaceans, & molluscs",103,Molluscs,10307,Animal Products,1,182001278,2022
"Edible products of animal origin, n.e.s.",104,Milk,10401,Animal Products,1,59524,2022
"Edible products of animal origin, n.e.s.",104,Concentrated Milk,10402,Animal Products,1,198413294,2022
"Edible products of animal origin, n.e.s.",104,Fermented Milk Products,10403,Animal Products,1,680081,2022
"Edible products of animal origin, n.e.s.",104,Whey and other milk products,10404,Animal Products,1,300540805,2022
"Edible products of animal origin, n.e.s.",104,Butter,10405,Animal Products,1,893410,2022
"Edible products of animal origin, n.e.s.",104,Cheese,10406,Animal Products,1,27959380,2022
"Edible products of animal origin, n.e.s.",104,Eggs,10407,Animal Products,1,54710,2022
"Edible products of animal origin, n.e.s.",104,Processed Egg Products,10408,Animal Products,1,121513,2022
"Edible products of animal origin, n.e.s.",104,Honey,10409,Animal Products,1,102721,2022
"Animal originated products, n.e.s.",105,Human Hair,10501,Animal Products,1,208091,2022
"Animal originated products, n.e.s.",105,Pig Hair,10502,Animal Products,1,81446,2022
"Animal originated products, n.e.s.",105,Animal Organs,10504,Animal Products,1,284529958,2022
"Animal originated products, n.e.s.",105,Bird Feathers and Skins,10505,Animal Products,1,9117869,2022
"Animal originated products, n.e.s.",105,Processed Bones,10506,Animal Products,1,63960,2022
"Animal originated products, n.e.s.",105,Raw Bones,10507,Animal Products,1,1811814,2022
"Animal originated products, n.e.s.",105,Coral and Shells,10508,Animal Products,1,272633,2022
"Animal originated products, n.e.s.",105,Pharmaceutical Animal Products,10510,Animal Products,1,159600,2022
"Animal originated products, n.e.s.",105,Other Inedible Animal Products,10511,Animal Products,1,108755018,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Bulbs and Roots,20601,Vegetable Products,2,9744,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,Vegetable Products,2,3145606,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Cut Flowers,20603,Vegetable Products,2,68029,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Plant foliage,20604,Vegetable Products,2,1308611,2022
"Edible vegetables, roots, & tubers",207,Potatoes,20701,Vegetable Products,2,59166,2022
"Edible vegetables, roots, & tubers",207,Tomatoes,20702,Vegetable Products,2,44710,2022
"Edible vegetables, roots, & tubers",207,Onions,20703,Vegetable Products,2,305600,2022
"Edible vegetables, roots, & tubers",207,Cabbages,20704,Vegetable Products,2,11052,2022
"Edible vegetables, roots, & tubers",207,Legumes,20708,Vegetable Products,2,377241,2022
"Edible vegetables, roots, & tubers",207,Other Vegetables,20709,Vegetable Products,2,386038,2022
"Edible vegetables, roots, & tubers",207,Frozen Vegetables,20710,Vegetable Products,2,7291250,2022
"Edible vegetables, roots, & tubers",207,Preserved Vegetables,20711,Vegetable Products,2,198304,2022
"Edible vegetables, roots, & tubers",207,Dried Vegetables,20712,Vegetable Products,2,3406633,2022
"Edible vegetables, roots, & tubers",207,Dried Legumes,20713,Vegetable Products,2,19176411,2022
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,Vegetable Products,2,186804,2022
"Edible fruits, nuts & fruit peels",208,Other Nuts,20802,Vegetable Products,2,581485114,2022
"Edible fruits, nuts & fruit peels",208,Tropical Fruits,20804,Vegetable Products,2,14452,2022
"Edible fruits, nuts & fruit peels",208,Citrus,20805,Vegetable Products,2,31698193,2022
"Edible fruits, nuts & fruit peels",208,Grapes,20806,Vegetable Products,2,9536049,2022
"Edible fruits, nuts & fruit peels",208,Apples and Pears,20808,Vegetable Products,2,11191246,2022
"Edible fruits, nuts & fruit peels",208,Pitted Fruits,20809,Vegetable Products,2,42312636,2022
"Edible fruits, nuts & fruit peels",208,Other Fruits,20810,Vegetable Products,2,812051,2022
"Edible fruits, nuts & fruit peels",208,Frozen Fruits and Nuts,20811,Vegetable Products,2,2292260,2022
"Edible fruits, nuts & fruit peels",208,Dried Fruits,20813,Vegetable Products,2,18522865,2022
"Coffee, tea, mate & spices",209,Coffee,20901,Vegetable Products,2,14651105,2022
"Coffee, tea, mate & spices",209,Tea,20902,Vegetable Products,2,1975721,2022
"Coffee, tea, mate & spices",209,Mate,20903,Vegetable Products,2,3797,2022
"Coffee, tea, mate & spices",209,Pepper,20904,Vegetable Products,2,518586,2022
"Coffee, tea, mate & spices",209,Vanilla,20905,Vegetable Products,2,57360,2022
"Coffee, tea, mate & spices",209,Cinnamon,20906,Vegetable Products,2,5200,2022
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,Vegetable Products,2,61486,2022
"Coffee, tea, mate & spices",209,Spice Seeds,20909,Vegetable Products,2,33392,2022
"Coffee, tea, mate & spices",209,Spices,20910,Vegetable Products,2,40905,2022
Cereals,210,Wheat,21001,Vegetable Products,2,445037619,2022
Cereals,210,Rye,21002,Vegetable Products,2,100579,2022
Cereals,210,Oats,21004,Vegetable Products,2,2228556,2022
Cereals,210,Corn,21005,Vegetable Products,2,5262972549,2022
Cereals,210,Rice,21006,Vegetable Products,2,16569,2022
Cereals,210,Sorghum,21007,Vegetable Products,2,1863649701,2022
Cereals,210,Buckwheat,21008,Vegetable Products,2,278509,2022
Products of the milling industry,211,Wheat Flours,21101,Vegetable Products,2,512592,2022
Products of the milling industry,211,Cereal Flours,21102,Vegetable Products,2,46723,2022
Products of the milling industry,211,Processed Cereals,21104,Vegetable Products,2,855626,2022
Products of the milling industry,211,Potato Flours,21105,Vegetable Products,2,1490341,2022
Products of the milling industry,211,Legume Flours,21106,Vegetable Products,2,2753550,2022
Products of the milling industry,211,Malt,21107,Vegetable Products,2,70279,2022
Products of the milling industry,211,Starches,21108,Vegetable Products,2,6483198,2022
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Soybeans,21201,Vegetable Products,2,17946876604,2022
