"reporterDesc","partnerDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag","date","gold_price"
"Kenya","South Africa","7108","kg",20213,"g",20213,558894.597,"b",2017-01-01,38342.92482
"Kenya","United Arab Emirates","7108","kg",14,"g",14000,286654.967,NA,2017-01-01,38342.92482
"Kenya","United Arab Emirates","710812","kg",14,"g",14000,286654.967,NA,2017-01-01,38342.92482
"Kenya","South Africa","710813","kg",20213,"g",20213,558894.597,"b",2017-01-01,38342.92482
"South Africa","Namibia","7108",NA,NA,NA,NA,7636.612,NA,2017-01-01,38342.92482
"South Africa","Areas, nes","7108","kg",8819.51,"kg",8819.51,314731543.621,NA,2017-01-01,38342.92482
"South Africa","Namibia","710811",NA,NA,"kg",2,29.535,NA,2017-01-01,38342.92482
"South Africa","Namibia","710813","kg",1,"kg",1,7607.077,NA,2017-01-01,38342.92482
"South Africa","Areas, nes","710813","kg",8819.51,"kg",8819.51,314731543.621,NA,2017-01-01,38342.92482
"Kenya","Italy","7108","kg",1,"g",3000,9039.27,"w",2017-02-01,39686.82408
"Kenya","South Africa","7108","kg",34597,"g",34597,1110521.162,"b",2017-02-01,39686.82408
"Kenya","Switzerland","7108","kg",8598,"g",8598,248330.265,"w",2017-02-01,39686.82408
"Kenya","United Arab Emirates","7108","kg",6,"g",6000,81136.989,NA,2017-02-01,39686.82408
"Kenya","Italy","710812","kg",1,"g",3000,9039.27,"w",2017-02-01,39686.82408
"Kenya","United Arab Emirates","710812","kg",6,"g",6000,81136.989,NA,2017-02-01,39686.82408
"Kenya","South Africa","710813","kg",34597,"g",34597,1110521.162,"b",2017-02-01,39686.82408
"Kenya","Switzerland","710813","kg",8598,"g",8598,248330.265,"w",2017-02-01,39686.82408
"South Africa","Namibia","7108",NA,NA,NA,NA,11841.999,NA,2017-02-01,39686.82408
"South Africa","Eswatini","7108",NA,NA,NA,NA,122.208,NA,2017-02-01,39686.82408
"South Africa","Areas, nes","7108","kg",6110.6,"kg",6110.6,211278321.938,NA,2017-02-01,39686.82408
"South Africa","Namibia","710811",NA,NA,"kg",1,15.078,NA,2017-02-01,39686.82408
"South Africa","Eswatini","710812",NA,NA,"kg",2,122.208,NA,2017-02-01,39686.82408
"South Africa","Namibia","710813","kg",2.52,"kg",2.52,11826.921,NA,2017-02-01,39686.82408
"South Africa","Areas, nes","710813","kg",6110.6,"kg",6110.6,211278321.938,NA,2017-02-01,39686.82408
"Kenya","China, Hong Kong SAR","7108","kg",1,"g",1000,36958.137,"b",2017-03-01,39580.72677
"Kenya","South Africa","7108","kg",46765,"g",46765,1548372.321,"b",2017-03-01,39580.72677
"Kenya","China, Hong Kong SAR","710812","kg",1,"g",1000,36958.137,"b",2017-03-01,39580.72677
"Kenya","South Africa","710813","kg",46765,"g",46765,1548372.321,"b",2017-03-01,39580.72677
"South Africa","Namibia","7108",NA,NA,NA,NA,12372.465,NA,2017-03-01,39580.72677
"South Africa","Areas, nes","7108","kg",11543.5,"kg",11543.5,426908108.044,NA,2017-03-01,39580.72677
"South Africa","Namibia","710811",NA,NA,"kg",3,46.37,NA,2017-03-01,39580.72677
"South Africa","Namibia","710812",NA,NA,"kg",1,33.928,NA,2017-03-01,39580.72677
"South Africa","Namibia","710813","kg",7,"kg",7,12292.167,NA,2017-03-01,39580.72677
"South Africa","Areas, nes","710813","kg",11543.5,"kg",11543.5,426908108.044,NA,2017-03-01,39580.72677
"Kenya","South Africa","7108","kg",15077,"g",15077,442328.475,"b",2017-04-01,40689.92592
"Kenya","Eswatini","7108","kg",1,"g",1000,8217.023,NA,2017-04-01,40689.92592
"Kenya","United Arab Emirates","7108","kg",1,"g",1000,26300.495,NA,2017-04-01,40689.92592
"Kenya","Eswatini","710812","kg",1,"g",1000,8217.023,NA,2017-04-01,40689.92592
"Kenya","United Arab Emirates","710812","kg",1,"g",1000,26300.495,NA,2017-04-01,40689.92592
"Kenya","South Africa","710813","kg",15077,"g",15077,442328.475,"b",2017-04-01,40689.92592
"South Africa","Namibia","7108",NA,NA,NA,NA,58.833,NA,2017-04-01,40689.92592
"South Africa","Areas, nes","7108","kg",9873.78,"kg",9873.78,350008195.394,NA,2017-04-01,40689.92592
"South Africa","Namibia","710811",NA,NA,"kg",2,29.601,NA,2017-04-01,40689.92592
"South Africa","Namibia","710813",NA,NA,"kg",6.73,29.231,NA,2017-04-01,40689.92592
"South Africa","Areas, nes","710813","kg",9873.78,"kg",9873.78,350008195.394,NA,2017-04-01,40689.92592
"Kenya","China, Hong Kong SAR","7108","kg",1,"g",246,7970.651,"b",2017-05-01,40027.6215
"Kenya","South Africa","7108","kg",43851,"g",43851,1157419.011,"b",2017-05-01,40027.6215
"Kenya","United Arab Emirates","7108","kg",3,"g",3500,69484.445,NA,2017-05-01,40027.6215
"Kenya","China, Hong Kong SAR","710812","kg",1,"g",246,7970.651,"b",2017-05-01,40027.6215
"Kenya","United Arab Emirates","710812","kg",3,"g",3500,69484.445,NA,2017-05-01,40027.6215
"Kenya","South Africa","710813","kg",43851,"g",43851,1157419.011,"b",2017-05-01,40027.6215
"South Africa","Namibia","7108",NA,NA,NA,NA,44.787,NA,2017-05-01,40027.6215
"South Africa","Areas, nes","7108","kg",14184.9,"kg",14184.9,573268171.482,NA,2017-05-01,40027.6215
"South Africa","Namibia","710811",NA,NA,"kg",1,15.054,NA,2017-05-01,40027.6215
"South Africa","Namibia","710813",NA,NA,"kg",7.36,29.732,NA,2017-05-01,40027.6215
"South Africa","Areas, nes","710813","kg",14184.9,"kg",14184.9,573268171.482,NA,2017-05-01,40027.6215
"Kenya","Switzerland","7108","kg",6065,"g",6065,192857.898,"w",2017-06-01,40519.52721
"Kenya","Switzerland","710813","kg",6065,"g",6065,192857.898,"w",2017-06-01,40519.52721
"South Africa","Namibia","7108",NA,NA,NA,NA,2118.027,NA,2017-06-01,40519.52721
"South Africa","Areas, nes","7108","kg",9113.77,"kg",9113.77,368127838.461,NA,2017-06-01,40519.52721
"South Africa","Namibia","710811",NA,NA,"kg",1,15.483,NA,2017-06-01,40519.52721
