"partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag","date","gold_price"
"Canada","South Africa","7108","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"China","South Africa","7108","kg",12981.09,NA,NA,508820013,"b",2017-01-01,38342.92482
"Canada","South Africa","7108","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"Canada","South Africa","710812","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"China","South Africa","710812","kg",9377.25,NA,NA,369390252,"b",2017-01-01,38342.92482
"Canada","South Africa","710812","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"China","South Africa","710813","kg",3603.84,NA,NA,139429761,"b",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Italy","South Africa","7108","kg",47,"g",47446,1486548.603,"w",2017-01-01,38342.92482
"China, Macao SAR","South Africa","7108","kg",1,"kg",1,39062.235,NA,2017-01-01,38342.92482
"China, Macao SAR","South Africa","7108","kg",1,"kg",1,39062.235,NA,2017-01-01,38342.92482
"Italy","South Africa","710812","kg",47,"g",47446,1486548.603,"w",2017-01-01,38342.92482
"China, Macao SAR","South Africa","710813","kg",1,"kg",1,39062.235,NA,2017-01-01,38342.92482
"China, Macao SAR","South Africa","710813","kg",1,"kg",1,39062.235,NA,2017-01-01,38342.92482
"Poland","South Africa","7108","kg",13,"g",13081,495194,"w",2017-01-01,38342.92482
"Saudi Arabia","South Africa","7108","kg",2000,"kg",2000,76953162.858,NA,2017-01-01,38342.92482
"Saudi Arabia","South Africa","710812","kg",2000,"kg",2000,76953162.858,NA,2017-01-01,38342.92482
"Poland","South Africa","710813","kg",13,"g",13081,495194,"w",2017-01-01,38342.92482
"India","South Africa","7108","kg",3317,"kg",3317,126707657.899,"b",2017-01-01,38342.92482
"Singapore","South Africa","7108","kg",931,"kg",931,36087415.09,NA,2017-01-01,38342.92482
"India","South Africa","710812","kg",3317,"kg",3317,126707657.899,"b",2017-01-01,38342.92482
"Singapore","South Africa","710813","kg",931,"kg",931,36087415.09,NA,2017-01-01,38342.92482
"United Arab Emirates","Kenya","7108","kg",209.2,"kg",209.2,6443859.585,NA,2017-01-01,38342.92482
"United Arab Emirates","Kenya","710812","kg",202.2,"kg",202.2,6237267.508,NA,2017-01-01,38342.92482
"United Arab Emirates","Kenya","710813","kg",7,"kg",7,206592.077,NA,2017-01-01,38342.92482
"Switzerland","South Africa","7108",NA,NA,NA,NA,58371712.056,"w",2017-01-01,38342.92482
"Thailand","South Africa","7108","kg",128,"kg",128,4937705.81,NA,2017-01-01,38342.92482
"United Arab Emirates","South Africa","7108","kg",827.25,"kg",827.25,28526246.174,NA,2017-01-01,38342.92482
"Switzerland","South Africa","7108","kg",1779,"kg",1779,58371700.157,"w",2017-01-01,38342.92482
"Thailand","South Africa","7108","kg",107,"kg",107,4127913.77,NA,2017-01-01,38342.92482
"Switzerland","South Africa","7108",NA,NA,NA,NA,11.898,"w",2017-01-01,38342.92482
"Thailand","South Africa","7108","kg",21,"kg",21,809792.04,NA,2017-01-01,38342.92482
"Switzerland","South Africa","7108",NA,NA,NA,NA,58371712.056,"w",2017-01-01,38342.92482
"Switzerland","South Africa","7108","kg",1779,"kg",1779,58371700.157,"w",2017-01-01,38342.92482
"Switzerland","South Africa","7108",NA,NA,NA,NA,11.898,"w",2017-01-01,38342.92482
"Switzerland","South Africa","710811",NA,NA,"kg",1,11.898,"w",2017-01-01,38342.92482
"Switzerland","South Africa","710811",NA,NA,"kg",1,11.898,"w",2017-01-01,38342.92482
"Switzerland","South Africa","710811",NA,NA,"kg",1,11.898,"w",2017-01-01,38342.92482
"Switzerland","South Africa","710811",NA,NA,"kg",1,11.898,"w",2017-01-01,38342.92482
"Switzerland","South Africa","710812","kg",1779,"kg",1779,58371700.157,"w",2017-01-01,38342.92482
"Thailand","South Africa","710812","kg",128,"kg",128,4937705.81,NA,2017-01-01,38342.92482
"United Arab Emirates","South Africa","710812","kg",824.21,"kg",824.21,28453595.771,NA,2017-01-01,38342.92482
"Switzerland","South Africa","710812","kg",1779,"kg",1779,58371700.157,"w",2017-01-01,38342.92482
"Thailand","South Africa","710812","kg",107,"kg",107,4127913.77,NA,2017-01-01,38342.92482
"Thailand","South Africa","710812","kg",21,"kg",21,809792.04,NA,2017-01-01,38342.92482
"Switzerland","South Africa","710812","kg",1779,"kg",1779,58371700.157,"w",2017-01-01,38342.92482
"Switzerland","South Africa","710812","kg",1779,"kg",1779,58371700.157,"w",2017-01-01,38342.92482
"United Arab Emirates","South Africa","710813","kg",3.04,"kg",3.04,72650.403,NA,2017-01-01,38342.92482
"United Kingdom","South Africa","7108","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"USA","South Africa","7108","kg",10.731,"g",10731,459195,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","7108","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"USA","South Africa","710812","kg",10.731,"g",10731,459195,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","710813","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","710813","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"Canada","South Africa","7108","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"Canada","South Africa","7108","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"Canada","South Africa","710812","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"Canada","South Africa","710812","kg",317.894,"g",317894,11299011.561,"w",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"China, Hong Kong SAR","South Africa","7108",NA,NA,NA,NA,247528814.381,"b",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","7108","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"China, Hong Kong SAR","South Africa","710812",NA,NA,NA,NA,247528814.381,"b",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"Germany","South Africa","710812","kg",107,"g",107000,4061643.459,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","7108","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","7108","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","710813","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"United Kingdom","South Africa","710813","kg",5891.09,"g",5891090,235336156.807,"w",2017-01-01,38342.92482
"Canada","South Africa","7108","kg",149.489,"g",149489,5734999.793,"w",2017-02-01,39686.82408
"China","South Africa","7108","kg",13325.234,NA,NA,507595041,"b",2017-02-01,39686.82408
"Canada","South Africa","7108","kg",149.489,"g",149489,5734999.793,"w",2017-02-01,39686.82408
"Canada","South Africa","710812","kg",149.489,"g",149489,5734999.793,"w",2017-02-01,39686.82408
"China","South Africa","710812","kg",10736.553,NA,NA,406715530,"b",2017-02-01,39686.82408
"Canada","South Africa","710812","kg",149.489,"g",149489,5734999.793,"w",2017-02-01,39686.82408
"China","South Africa","710813","kg",2588.681,NA,NA,100879511,"b",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"China, Hong Kong SAR","South Africa","7108","kg",2026,"kg",2026,77539848.489,"b",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"China, Hong Kong SAR","South Africa","7108","kg",2026,"kg",2026,77539848.489,"b",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"China, Hong Kong SAR","South Africa","710812","kg",2026,"kg",2026,77539848.489,"b",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
