"refYear","reporterDesc","partnerDesc","cmdCode","qty","altQty","primaryValue"
2017,"Kenya","World",710813,396344,52283402,12498920.908
2017,"Kenya","South Africa",710813,281880,46435680,8831633.031
2017,"Kenya","Switzerland",710813,114464,5847722,3667287.877
2017,"South Africa","World",710811,0,46,327.119
2017,"South Africa","Lesotho",710811,0,25,11.86
2017,"South Africa","Namibia",710811,0,21,315.259
2017,"South Africa","World",7108,0,0,4984982037.497
2017,"South Africa","Lesotho",7108,0,0,11.86
2017,"South Africa","Namibia",7108,0,0,49387.433
2017,"South Africa","Eswatini",7108,0,0,272.699
2017,"South Africa","Areas, nes",7108,127333.5,127333.5,4984932365.505
2017,"South Africa","World",710813,0,127424.08,4984980135.809
2017,"South Africa","Namibia",710813,24.592,38.68,47702.749
2017,"South Africa","Eswatini",710813,0,51.9,67.556
2017,"South Africa","Areas, nes",710813,127333.5,127333.5,4984932365.505
2017,"Kenya","World",7108,396375,52315648,13088382.429
2017,"Kenya","China, Hong Kong SAR",7108,2,1246,44734.057
2017,"Kenya","Italy",7108,1,3000,9060.156
2017,"Kenya","South Africa",7108,281880,46435680,8831633.031
2017,"Kenya","Eswatini",7108,1,1000,8213.228
2017,"Kenya","Switzerland",7108,114464,5847722,3667287.877
2017,"Kenya","United Arab Emirates",7108,27,27000,527454.08
2017,"South Africa","World",710812,0,7,1574.569
2017,"South Africa","Namibia",710812,1.025,2,1369.425
2017,"South Africa","Eswatini",710812,0,5,205.144
2017,"Kenya","World",710812,31,32246,589461.521
2017,"Kenya","China, Hong Kong SAR",710812,2,1246,44734.057
2017,"Kenya","Italy",710812,1,3000,9060.156
2017,"Kenya","Eswatini",710812,1,1000,8213.228
2017,"Kenya","United Arab Emirates",710812,27,27000,527454.08
2018,"Kenya","World",710813,14295.32,14294471,11062854.48
2018,"Kenya","South Africa",710813,181.386,181386,6308281.88
2018,"Kenya","Switzerland",710813,14112.934,14112934,4748553.249
2018,"Kenya","United Arab Emirates",710813,1,151,6019.351
2018,"South Africa","World",7108,0,0,5407914857.095
2018,"South Africa","Botswana",7108,1,0,1889.883
2018,"South Africa","Namibia",7108,161.693,0,177346.189
2018,"South Africa","Eswatini",7108,0,0,438.634
2018,"South Africa","Areas, nes",7108,150317.32,0,5407735182.389
2018,"South Africa","World",710813,150478.921,0,5407908644.095
2018,"South Africa","Namibia",710813,161.601,0,173461.706
2018,"South Africa","Areas, nes",710813,150317.32,0,5407735182.389
2018,"Kenya","World",7108,14315.32,14310134,11640159.989
2018,"Kenya","Canada",7108,1,1000,37828.033
2018,"Kenya","China, Hong Kong SAR",7108,7,7000,281538.32
2018,"Kenya","Rep. of Korea",7108,1,214,7483.969
2018,"Kenya","Qatar",7108,2,2000,93656.013
2018,"Kenya","South Africa",7108,181.386,181386,6308281.88
2018,"Kenya","Switzerland",7108,14113.934,14113934,4788426.868
2018,"Kenya","United Arab Emirates",7108,8,3600,122855.931
2018,"Kenya","USA",7108,1,1000,88.974
2018,"South Africa","World",710812,0,0,6213.001
2018,"South Africa","Botswana",710812,1,0,1889.883
2018,"South Africa","Namibia",710812,0,0,3884.483
2018,"South Africa","Eswatini",710812,0,0,438.634
2018,"Kenya","World",710812,20,15663,577305.508
2018,"Kenya","Canada",710812,1,1000,37828.033
2018,"Kenya","China, Hong Kong SAR",710812,7,7000,281538.32
2018,"Kenya","Rep. of Korea",710812,1,214,7483.969
2018,"Kenya","Qatar",710812,2,2000,93656.013
2018,"Kenya","Switzerland",710812,1,1000,39873.619
2018,"Kenya","United Arab Emirates",710812,7,3449,116836.58
2018,"Kenya","USA",710812,1,1000,88.974
2019,"Kenya","World",7108,453.986,0,16843465.79
2019,"Kenya","France",7108,0.1,100,4339.29
2019,"Kenya","Germany",7108,2,0,38278.48
2019,"Kenya","China, Hong Kong SAR",7108,16.112,16112,257955.52
2019,"Kenya","Rep. of Korea",7108,2,2,910.28
2019,"Kenya","Oman",7108,1,1000,21584.68
2019,"Kenya","Qatar",7108,1,1000,38660.56
2019,"Kenya","South Africa",7108,342.614,0,13343069.27
2019,"Kenya","Spain",7108,3,3,121459.68
2019,"Kenya","Switzerland",7108,65.109,0,2246312.45
2019,"Kenya","United Arab Emirates",7108,17.714,0,669444.47
2019,"Kenya","Turkey",7108,1.051,1051,21079.49
2019,"Kenya","United Kingdom",7108,0.286,286,10491.2
2019,"Kenya","USA",7108,2,2000,69880.42
2019,"Kenya","World",710812,41.263,0,1118719.23
2019,"Kenya","France",710812,0.1,100,4339.29
2019,"Kenya","Germany",710812,2,0,38278.48
2019,"Kenya","China, Hong Kong SAR",710812,16.112,16112,257955.52
2019,"Kenya","Rep. of Korea",710812,2,2,910.28
2019,"Kenya","Oman",710812,1,1000,21584.68
2019,"Kenya","Qatar",710812,1,1000,38660.56
2019,"Kenya","Spain",710812,3,3,121459.68
2019,"Kenya","United Arab Emirates",710812,12.714,0,534079.63
2019,"Kenya","Turkey",710812,1.051,1051,21079.49
2019,"Kenya","United Kingdom",710812,0.286,286,10491.2
2019,"Kenya","USA",710812,2,2000,69880.42
2019,"Kenya","World",710813,412.723,0,15724746.56
2019,"Kenya","South Africa",710813,342.614,0,13343069.27
2019,"Kenya","Switzerland",710813,65.109,0,2246312.45
2019,"Kenya","United Arab Emirates",710813,5,5000,135364.84
2019,"South Africa","World",7108,0,0,4621604216.164
2019,"South Africa","Botswana",7108,0.1,0,219.734
2019,"South Africa","Lesotho",7108,0,0,9.133
2019,"South Africa","Namibia",7108,26.46,0,53526.324
2019,"South Africa","Eswatini",7108,0,0,857.349
2019,"South Africa","Areas, nes",7108,105016.6,0,4621549603.625
2019,"South Africa","World",710812,0,0,1035.433
