"date","reporterDesc","partnerDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2017-01-01,"Kenya","South Africa",710813,"kg",281880,"g",46435680,8831633.031,"b"
2017-01-01,"Kenya","Switzerland",710813,"kg",114464,"g",5847722,3667287.877,"w"
2017-01-01,"South Africa","Lesotho",710811,NA,NA,"kg",25,11.86,NA
2017-01-01,"South Africa","Namibia",710811,NA,NA,"kg",21,315.259,NA
2017-01-01,"South Africa","Lesotho",7108,NA,NA,NA,NA,11.86,NA
2017-01-01,"South Africa","Namibia",7108,NA,NA,NA,NA,49387.433,NA
2017-01-01,"South Africa","Eswatini",7108,NA,NA,NA,NA,272.699,NA
2017-01-01,"South Africa","Areas, nes",7108,"kg",127333.5,"kg",127333.5,4984932365.505,NA
2017-01-01,"South Africa","Namibia",710813,"kg",24.592,"kg",38.68,47702.749,NA
2017-01-01,"South Africa","Eswatini",710813,NA,NA,"kg",51.9,67.556,NA
2017-01-01,"South Africa","Areas, nes",710813,"kg",127333.5,"kg",127333.5,4984932365.505,NA
2017-01-01,"Kenya","China, Hong Kong SAR",7108,"kg",2,"g",1246,44734.057,"b"
2017-01-01,"Kenya","Italy",7108,"kg",1,"g",3000,9060.156,"w"
2017-01-01,"Kenya","South Africa",7108,"kg",281880,"g",46435680,8831633.031,"b"
2017-01-01,"Kenya","Eswatini",7108,"kg",1,"g",1000,8213.228,NA
2017-01-01,"Kenya","Switzerland",7108,"kg",114464,"g",5847722,3667287.877,"w"
2017-01-01,"Kenya","United Arab Emirates",7108,"kg",27,"g",27000,527454.08,NA
2017-01-01,"South Africa","Namibia",710812,"kg",1.025,"kg",2,1369.425,NA
2017-01-01,"South Africa","Eswatini",710812,NA,NA,"kg",5,205.144,NA
2017-01-01,"Kenya","China, Hong Kong SAR",710812,"kg",2,"g",1246,44734.057,"b"
2017-01-01,"Kenya","Italy",710812,"kg",1,"g",3000,9060.156,"w"
2017-01-01,"Kenya","Eswatini",710812,"kg",1,"g",1000,8213.228,NA
2017-01-01,"Kenya","United Arab Emirates",710812,"kg",27,"g",27000,527454.08,NA
2018-01-01,"Kenya","South Africa",710813,"kg",181.386,"g",181386,6308281.88,"b"
2018-01-01,"Kenya","Switzerland",710813,"kg",14112.934,"g",14112934,4748553.249,"w"
2018-01-01,"Kenya","United Arab Emirates",710813,"kg",1,"g",151,6019.351,NA
2018-01-01,"South Africa","Botswana",7108,"kg",1,NA,NA,1889.883,NA
2018-01-01,"South Africa","Namibia",7108,"kg",161.693,NA,NA,177346.189,NA
2018-01-01,"South Africa","Eswatini",7108,NA,NA,NA,NA,438.634,NA
2018-01-01,"South Africa","Areas, nes",7108,"kg",150317.32,NA,NA,5407735182.389,NA
2018-01-01,"South Africa","Namibia",710813,"kg",161.601,NA,NA,173461.706,NA
2018-01-01,"South Africa","Areas, nes",710813,"kg",150317.32,NA,NA,5407735182.389,NA
2018-01-01,"Kenya","Canada",7108,"kg",1,"g",1000,37828.033,"w"
2018-01-01,"Kenya","China, Hong Kong SAR",7108,"kg",7,"g",7000,281538.32,"b"
2018-01-01,"Kenya","Rep. of Korea",7108,"kg",1,"g",214,7483.969,"w"
2018-01-01,"Kenya","Qatar",7108,"kg",2,"g",2000,93656.013,NA
2018-01-01,"Kenya","South Africa",7108,"kg",181.386,"g",181386,6308281.88,"b"
2018-01-01,"Kenya","Switzerland",7108,"kg",14113.934,"g",14113934,4788426.868,"w"
2018-01-01,"Kenya","United Arab Emirates",7108,"kg",8,"g",3600,122855.931,NA
2018-01-01,"Kenya","USA",7108,"kg",1,"g",1000,88.974,"w"
2018-01-01,"South Africa","Botswana",710812,"kg",1,NA,NA,1889.883,NA
2018-01-01,"South Africa","Namibia",710812,NA,NA,NA,NA,3884.483,NA
2018-01-01,"South Africa","Eswatini",710812,NA,NA,NA,NA,438.634,NA
2018-01-01,"Kenya","Canada",710812,"kg",1,"g",1000,37828.033,"w"
2018-01-01,"Kenya","China, Hong Kong SAR",710812,"kg",7,"g",7000,281538.32,"b"
2018-01-01,"Kenya","Rep. of Korea",710812,"kg",1,"g",214,7483.969,"w"
2018-01-01,"Kenya","Qatar",710812,"kg",2,"g",2000,93656.013,NA
2018-01-01,"Kenya","Switzerland",710812,"kg",1,"g",1000,39873.619,"w"
2018-01-01,"Kenya","United Arab Emirates",710812,"kg",7,"g",3449,116836.58,NA
2018-01-01,"Kenya","USA",710812,"kg",1,"g",1000,88.974,"w"
2019-01-01,"Kenya","France",7108,"kg",0.1,"g",100,4339.29,"w"
2019-01-01,"Kenya","Germany",7108,"kg",2,NA,NA,38278.48,"w"
