"date","partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2017-01-01,"Australia","South Africa",7108,"kg",16.767,NA,NA,648235.27,"w"
2017-01-01,"Austria","South Africa",7108,"kg",11.436,NA,NA,468415.801,"w"
2017-01-01,"Belgium","South Africa",7108,"kg",188.043,"g",188043,5681713.07,"w"
2017-01-01,"Brazil","South Africa",7108,"kg",0.056,NA,NA,901,"b"
2017-01-01,"Australia","South Africa",710812,"kg",4.74,NA,NA,179552.597,"w"
2017-01-01,"Austria","South Africa",710812,"kg",11.436,NA,NA,468415.801,"w"
2017-01-01,"Australia","South Africa",710813,"kg",12.027,NA,NA,468682.673,"w"
2017-01-01,"Belgium","South Africa",710813,"kg",188.043,"g",188043,5681713.07,"w"
2017-01-01,"Brazil","South Africa",710813,"kg",0.056,"kg",NA,901,"b"
2017-01-01,"Canada","South Africa",7108,"kg",3224.769,NA,NA,123927658.831,"w"
2017-01-01,"China","South Africa",7108,"kg",168126.66,"kg",168126.66,7074666081,"b"
2017-01-01,"Czechia","South Africa",7108,"kg",4.381,"g",1234,49977,"w"
2017-01-01,"Canada","South Africa",710812,"kg",3224.697,NA,NA,123924562.778,"w"
2017-01-01,"China","South Africa",710812,"kg",122738.8,"kg",122738.8,5066424651,"b"
2017-01-01,"Czechia","South Africa",710812,"kg",1.331,"g",1110,44732,"w"
2017-01-01,"Canada","South Africa",710813,"kg",0.072,NA,NA,3096.053,"w"
2017-01-01,"China","South Africa",710813,"kg",45387.86,"kg",45387.86,2008241430,"b"
2017-01-01,"Czechia","South Africa",710813,"kg",3.05,"g",124,5245,"w"
2017-01-01,"France","South Africa",7108,"kg",0.2,"g",200,719.005,"w"
2017-01-01,"France","South Africa",710813,"kg",0.2,"g",200,719.005,"w"
2017-01-01,"Germany","Kenya",7108,"kg",1,"g",1000,25330.236,"w"
2017-01-01,"Germany","Kenya",710813,"kg",1,"g",1000,25330.236,"w"
2017-01-01,"Germany","South Africa",7108,"kg",228.184,"g",228184,9060022.895,"w"
2017-01-01,"China, Hong Kong SAR","South Africa",7108,"kg",44354,"kg",44354,1763021254.819,"b"
2017-01-01,"Germany","South Africa",710812,"kg",228.184,"g",228184,9060022.895,"w"
2017-01-01,"China, Hong Kong SAR","South Africa",710812,"kg",44354,"kg",44354,1763021254.819,"b"
2017-01-01,"Indonesia","South Africa",7108,"kg",468,"kg",468,19150656,NA
2017-01-01,"Ireland","South Africa",7108,"kg",13.678,"g",13678,403784.139,"w"
2017-01-01,"Italy","South Africa",7108,"kg",3981,"g",3983520,136748848.946,"w"
2017-01-01,"Japan","South Africa",7108,"kg",1,"g",1000,44186.054,"w"
2017-01-01,"Lebanon","South Africa",7108,"kg",275,"kg",275,10636750.915,NA
2017-01-01,"China, Macao SAR","South Africa",7108,"kg",6,"kg",6,243166.662,NA
2017-01-01,"Mauritius","South Africa",7108,"kg",131,"kg",131,4920243.97,NA
2017-01-01,"Indonesia","South Africa",710812,"kg",468,"kg",468,19150656,NA
2017-01-01,"Ireland","South Africa",710812,"kg",2.29,"g",2290,72760.494,"w"
2017-01-01,"Italy","South Africa",710812,"kg",3981,"g",3983520,136748848.946,"w"
2017-01-01,"Japan","South Africa",710812,"kg",1,"g",1000,44186.054,"w"
2017-01-01,"Lebanon","South Africa",710812,"kg",275,"kg",275,10636750.915,NA
2017-01-01,"Mauritius","South Africa",710812,"kg",130,"kg",130,4919437.833,NA
2017-01-01,"Ireland","South Africa",710813,"kg",11.388,"g",11388,331023.645,"w"
2017-01-01,"China, Macao SAR","South Africa",710813,"kg",6,"kg",6,243166.662,NA
2017-01-01,"Mauritius","South Africa",710813,"kg",1,"kg",1,806.137,NA
2017-01-01,"Other Asia, nes","South Africa",7108,"kg",32,"kg",32,1299464.85,NA
2017-01-01,"Namibia","South Africa",7108,"kg",0.003,NA,NA,102.881,NA
2017-01-01,"Norway","South Africa",7108,"kg",56,"kg",56,1732784.82,"w"
2017-01-01,"Poland","South Africa",7108,"kg",61.01,"g",60301,2392881,"w"
2017-01-01,"Saudi Arabia","South Africa",7108,"kg",9483,"kg",9483,376573161.969,NA
2017-01-01,"Other Asia, nes","South Africa",710812,"kg",32,"kg",32,1299464.85,NA
2017-01-01,"Namibia","South Africa",710812,"kg",0.001,NA,NA,33.498,NA
2017-01-01,"Saudi Arabia","South Africa",710812,"kg",9483,"kg",9483,376573161.969,NA
2017-01-01,"Namibia","South Africa",710813,"kg",0.002,NA,NA,69.384,NA
2017-01-01,"Norway","South Africa",710813,"kg",56,"kg",56,1732784.82,"w"
2017-01-01,"Poland","South Africa",710813,"kg",61.01,"g",60301,2392881,"w"
2017-01-01,"South Africa","Kenya",7108,"kg",39.24,"kg",39.24,1193902.559,"b"
2017-01-01,"South Africa","Kenya",710813,"kg",39.24,"kg",39.24,1193902.559,"b"
2017-01-01,"India","South Africa",7108,"kg",45992,"kg",45992,1871921959.359,"b"
2017-01-01,"Singapore","South Africa",7108,"kg",2021,"kg",2021,81756623.243,NA
2017-01-01,"South Africa","South Africa",7108,"kg",1.1,"kg",1.1,2836.506,"b"
2017-01-01,"India","South Africa",710812,"kg",45992,"kg",45992,1871921959.359,"b"
2017-01-01,"South Africa","South Africa",710812,"kg",1.1,"kg",1.1,2836.506,"b"
2017-01-01,"Singapore","South Africa",710813,"kg",2021,"kg",2021,81756623.243,NA
2017-01-01,"Switzerland","Kenya",7108,"kg",98,"kg",98,3140386.3,"w"
2017-01-01,"United Arab Emirates","Kenya",7108,"kg",2447,"kg",2447,81219974.674,NA
2017-01-01,"Switzerland","Kenya",710812,"kg",98,"kg",98,3140386.3,"w"
2017-01-01,"United Arab Emirates","Kenya",710812,"kg",2361,"kg",2361,78607899.993,NA
2017-01-01,"United Arab Emirates","Kenya",710813,"kg",86,"kg",86,2612074.681,NA
2017-01-01,"Eswatini","South Africa",7108,"kg",0.007,NA,NA,272.527,NA
2017-01-01,"Sweden","South Africa",7108,"kg",1,"g",1000,13243.095,"w"
2017-01-01,"Switzerland","South Africa",7108,"kg",22803.422,NA,NA,798835961.475,"w"
2017-01-01,"Thailand","South Africa",7108,"kg",2253,"kg",2253,90566254.68,NA
2017-01-01,"United Arab Emirates","South Africa",7108,"kg",21163,"kg",21163,664597102.081,NA
2017-01-01,"Switzerland","South Africa",710811,NA,NA,"kg",1,12.189,"w"
2017-01-01,"United Arab Emirates","South Africa",710811,"kg",1,"kg",1,26534.506,NA
2017-01-01,"Eswatini","South Africa",710812,"kg",0.005,NA,NA,204.597,NA
2017-01-01,"Switzerland","South Africa",710812,"kg",22799,"kg",22799,798658279.346,"w"
2017-01-01,"Thailand","South Africa",710812,"kg",2253,"kg",2253,90566254.68,NA
2017-01-01,"United Arab Emirates","South Africa",710812,"kg",21116,"kg",21116,662993534.668,NA
2017-01-01,"Eswatini","South Africa",710813,"kg",0.002,NA,NA,67.93,NA
2017-01-01,"Sweden","South Africa",710813,"kg",1,"g",1000,13243.095,"w"
2017-01-01,"Switzerland","South Africa",710813,"kg",4.421,NA,NA,177669.94,"w"
2017-01-01,"United Arab Emirates","South Africa",710813,"kg",46,"kg",46,1577032.907,NA
2017-01-01,"Turkey","Kenya",7108,"kg",40.123,"g",40123,1518720,"w"
