typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16.767","true","-1","N/A","0","false","16.767","true","0","false","648235.27","645001.994","648235.27","6","false","true",
"C","A","20170101","2017","52","2017","40","AUT","Austria","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","11.436","true","-1","N/A","0","false","11.436","true",,"false","468415.801",,"468415.801","0","false","true",
"C","A","20170101","2017","52","2017","56","BEL","Belgium","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","188.043","false","15","g","188043","false","188.05","false","0","false","5681713.07","0","5681713.07","0","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.056","true","-1","N/A","0","false","0.056","true","0","false","901","867","901","6","false","true",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.74","true","-1","N/A","0","false","4.74","true","282.6","false","179552.597","177606.089","179552.597","6","false","true",
"C","A","20170101","2017","52","2017","40","AUT","Austria","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","11.436","true","-1","N/A","0","false","11.436","true",,"false","468415.801",,"468415.801","0","true","false",
"C","A","20170101","2017","52","2017","36","AUS","Australia","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12.027","true","-1","N/A","0","false","12.027","true","0","false","468682.673","467395.905","468682.673","6","false","true",
"C","A","20170101","2017","52","2017","56","BEL","Belgium","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","188.043","false","15","g","188043","false","188.05","false","0","false","5681713.07","0","5681713.07","0","true","false",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.056","true","8","kg","0","false","0.056","true","0","false","901","867","901","6","false","true",
"C","A","20170101","2017","52","2017","124","CAN","Canada","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3224.769","false","-1","N/A","0","false","3224.769","false","0","false","0","123927658.831","123927658.831","0","false","true",
