typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,396344,false,15,g,52283402,false,396344,false,,false,,12498920.908,12498920.908,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,281880,false,15,g,46435680,false,281880,false,,false,,8831633.031,8831633.031,0,true,false
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,114464,false,15,g,5847722,false,114464,false,,false,,3667287.877,3667287.877,0,true,false
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,710811,"Metals; gold, non-monetary, powder",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,46,false,0,true,0,false,0,327.119,327.119,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,426,LSO,Lesotho,0,W00,World,H5,HS,true,710811,"Metals; gold, non-monetary, powder",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,25,false,0,true,0,false,0,11.86,11.86,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,710811,"Metals; gold, non-monetary, powder",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,21,false,0,true,0,false,0,315.259,315.259,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0,true,0,false,0,4984982037.497,4984982037.497,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,426,LSO,Lesotho,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0,true,0,false,0,11.86,11.86,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0,true,0,false,0,49387.433,49387.433,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,748,SWZ,Eswatini,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0,true,0,false,0,272.699,272.699,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,899,_X ,"Areas, nes",0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,127333.5,false,8,kg,127333.5,false,127333.5,false,0,false,0,4984932365.505,4984932365.505,0,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,127424.08,false,0,true,0,false,0,4984980135.809,4984980135.809,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24.592,true,8,kg,38.68,false,24.592,true,0,false,0,47702.749,47702.749,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,748,SWZ,Eswatini,0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,51.9,false,0,true,0,false,0,67.556,67.556,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,899,_X ,"Areas, nes",0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,127333.5,false,8,kg,127333.5,false,127333.5,false,0,false,0,4984932365.505,4984932365.505,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,396375,false,15,g,52315648,false,396375,false,,false,,13088382.429,13088382.429,0,false,true
